Date,Name,Year,Letterboxd URI
2020-11-20,The Skin I Live In,2011,https://boxd.it/99A
2020-11-20,Psycho,1960,https://boxd.it/2ab2
2020-11-20,Under the Skin,2013,https://boxd.it/3mDa
2020-11-20,Boyhood,2014,https://boxd.it/3178
2020-11-20,Uncut Gems,2019,https://boxd.it/gXGc
2020-11-20,Barry Lyndon,1975,https://boxd.it/25A2
2020-11-20,Melancholia,2011,https://boxd.it/bPI
2020-11-20,Enemy,2013,https://boxd.it/5xtO
2020-11-20,Full Metal Jacket,1987,https://boxd.it/2a1Q
2020-11-20,Good Will Hunting,1997,https://boxd.it/2ahY
2021-05-02,Insomnia,2002,https://boxd.it/2aB0
2021-05-02,The Favourite,2018,https://boxd.it/d2hI
2021-05-02,The Machinist,2004,https://boxd.it/248c
2021-05-02,Perfect Blue,1997,https://boxd.it/1W7A
2021-05-02,The Gold Rush,1925,https://boxd.it/29ce
2021-05-02,The Big Short,2015,https://boxd.it/ajZw
2021-05-02,Life of Pi,2012,https://boxd.it/37pC
2021-05-02,Lincoln,2012,https://boxd.it/2n2s
2021-05-02,The Artist,2011,https://boxd.it/2AwK
2021-05-02,Precious,2009,https://boxd.it/1v6K
2021-05-02,Babel,2006,https://boxd.it/292o
2021-05-02,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ
2021-05-02,The Last King of Scotland,2006,https://boxd.it/28FE
2021-05-02,Titanic,1997,https://boxd.it/2a2k
2021-05-02,Boyz n the Hood,1991,https://boxd.it/29Ug
2021-05-02,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY
2021-05-02,Pretty Woman,1990,https://boxd.it/2b6M
2021-05-02,Amadeus,1984,https://boxd.it/2aH8
2021-05-02,Once Upon a Time in America,1984,https://boxd.it/2aCs
2021-05-02,Gandhi,1982,https://boxd.it/29Dk
2021-05-02,Das Boot,1981,https://boxd.it/2av2
2021-05-02,Grease,1978,https://boxd.it/29YW
2021-05-03,Nomadland,2020,https://boxd.it/lnRy
2021-05-03,Promising Young Woman,2020,https://boxd.it/loRE
2021-05-04,The Handmaiden,2016,https://boxd.it/948A
2021-06-05,Billy Elliot,2000,https://boxd.it/2bdy
2021-06-14,Stalker,1979,https://boxd.it/28PO
2021-06-14,Solaris,1972,https://boxd.it/2a2Y
2021-06-14,Vertigo,1958,https://boxd.it/2apI
2021-06-14,Lolita,1997,https://boxd.it/1XR0
2021-06-14,Singin' in the Rain,1952,https://boxd.it/29oY
2021-06-18,The Secret of Kells,2009,https://boxd.it/1sMI
2021-06-18,Gattaca,1997,https://boxd.it/29Du
2021-06-18,It's Such a Beautiful Day,2012,https://boxd.it/hCY2
2021-06-18,Ernest & Celestine,2012,https://boxd.it/493A
2021-06-18,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2021-06-18,The King of Pigs,2011,https://boxd.it/3cvU
2021-06-18,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape
2021-06-21,Paprika,2006,https://boxd.it/23wW
2021-06-21,The Fountain,2006,https://boxd.it/28RU
2021-06-21,Gone with the Wind,1939,https://boxd.it/29Fq
2021-06-21,Seven Samurai,1954,https://boxd.it/2axi
2021-06-21,Breakfast at Tiffany's,1961,https://boxd.it/2aYS
2021-06-21,Lolita,1962,https://boxd.it/29Ag
2021-06-21,The Outsiders,1983,https://boxd.it/2aPw
2021-06-21,Tootsie,1982,https://boxd.it/1YkG
2021-06-21,The Color Purple,1985,https://boxd.it/29oO
2021-06-21,When Harry Met Sally...,1989,https://boxd.it/29W2
2021-06-21,The Thin Red Line,1998,https://boxd.it/1ZTM
2021-06-21,Spotlight,2015,https://boxd.it/a84k
2021-06-21,Hell or High Water,2016,https://boxd.it/bfGM
2021-06-23,12 Angry Men,1957,https://boxd.it/2auI
2021-06-23,Malcolm X,1992,https://boxd.it/27WE
2021-06-27,Hotel Rwanda,2004,https://boxd.it/2aSA
2021-06-28,Biutiful,2010,https://boxd.it/OiI
